Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
30-Jun-1929,7726000,293945537,301671537,0,4479376,4479376,5472449,76730411,82202861,155972,5439603,5595575
31-Jul-1929,8724526,309021379,317745905,543405,4367832,4911237,5940577,70757971,76698548,206433,4427656,4634089
31-Aug-1929,7931005,296779433,304710438,0,4688393,4688393,5608410,76416187,82024597,156157,4937105,5093262
30-Sep-1929,5636822,265865553,271502375,57276,8429566,8486842,5529835,75529231,81059067,8949,9564642,9573591
31-Oct-1929,7200225,287429245,294629470,93368,5469079,5562447,5167216,78583079,83750296,9567,5437289,5446856
30-Nov-1929,6010708,277879292,283890000,116859,6951432,7068290,5689000,76445070,82134070,9159,7981280,7990439
31-Dec-1929,15282025,361382730,376664755,1676073,4413849,6089922,25022916,59599966,84622882,2143716,2850280,4993995
31-Jan-1930,15947260,350796881,366744140,2600331,4636790,7237121,16590190,61805869,78396059,2062525,3721995,5784520
28-Feb-1930,16163186,354072373,370235559,2092955,4167927,6260882,20475489,63512240,83987729,2726992,3573953,6300945
31-Mar-1930,15537053,348163026,363700079,1577134,5321417,6898550,17010132,63677272,80687404,1433616,3015104,4448719
30-Apr-1930,5525951,268930396,274456346,1376,6925411,6926787,4512963,72565416,77078379,542659,6476727,7019386
31-May-1930,7089993,274965847,282055840,120869,7869020,7989888,4495545,77937343,82432887,8949,6702147,6711097
30-Jun-1930,7917735,293927380,301845115,545269,5823681,6368950,5331565,74209886,79541451,205865,5424519,5630384
31-Jul-1930,7649197,307949492,315598689,551129,4387788,4938917,6468102,70509587,76977689,228838,4853843,5082680
31-Aug-1930,7808094,286792755,294600848,0,5603605,5603605,5105203,78063908,83169111,155774,6323412,6479186
30-Sep-1930,5106154,240882446,245988600,6722,10493356,10500078,4048875,75860239,79909114,533710,8006927,8540636
31-Oct-1930,5237834,246998919,252236753,6722,9593327,9600049,4115692,74656226,78771918,533710,8510342,9044052
30-Nov-1930,5317640,256832334,262149974,0,10685824,10685824,5506252,75007094,80513346,8727,7720409,7729137
31-Dec-1930,4968688,248382976,253351665,8106,9760251,9768356,4525099,75390466,79915565,533710,7822969,8356679
31-Jan-1931,11015028,317766643,328781671,108454,6086210,6194665,5495790,65821005,71316794,156515,4549368,4705883
28-Feb-1931,6395597,297352264,303747861,121178,5947638,6068816,6650192,69764054,76414245,9567,7000605,7010172
31-Mar-1931,5866172,284111870,289978041,29336,6870494,6899830,5997523,72925848,78923371,9369,6323837,6333206
30-Apr-1931,6946676,289680676,296627352,200935,5501544,5702478,5349132,76769568,82118700,9567,5759460,5769027
31-May-1931,7762217,279059648,286821864,0,6879068,6879068,5085621,78941655,84027276,155774,6682550,6838324
30-Jun-1931,8043020,278437238,286480258,0,6965747,6965747,4718786,79244220,83963006,155564,6764579,6920144
31-Jul-1931,8028488,300051754,308080243,543405,4643942,5187347,5777390,73690604,79467994,206248,5020532,5226780
31-Aug-1931,7481839,279116494,286598333,120869,6987741,7108610,4685064,79655215,84340280,9159,6068557,6077716
30-Sep-1931,5131935,243356661,248488596,8106,10082308,10090413,4239631,76911657,81151288,533710,8369267,8902977
31-Oct-1931,5953144,271209152,277162296,57276,7733189,7790465,5628439,75816683,81445122,9159,8927333,8936492
30-Nov-1931,5346773,262275539,267622312,0,10258886,10258886,5594507,75172097,80766604,8727,7230980,7239707
31-Dec-1931,21908289,366393030,388301319,1805898,4783435,6589333,26490977,59110910,85601887,2152138,2790624,4942762
31-Jan-1932,16322600,335742215,352064815,1836422,4836745,6673167,8805672,65947647,74753319,809069,3272236,4081305
29-Feb-1932,5888696,293388664,299277359,29336,6269109,6298446,6114290,70384496,76498786,9369,5873816,5883185
31-Mar-1932,6145049,289916329,296061378,0,5180975,5180975,4870794,67776443,72647237,542869,5347499,5890368
30-Apr-1932,5370904,266072272,271443176,0,7146344,7146344,4499026,73158170,77657196,542437,6771049,7313486
