Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
30-Sep-1928,15423002,347422419,362845421,3277073,3675189,6952262,8609173,58914143,67523316,1186274,3637675,4823949
31-Oct-1928,8611506,303781533,312393039,0,4372461,4372461,5765788,73957043,79722831,156342,4784094,4940436
30-Nov-1928,5810520,283213995,289024514,146324,6741822,6888146,6125212,75269783,81394995,9369,7798025,7807394
31-Dec-1928,5965713,284466698,290432411,63774,6979415,7043189,5880691,72771913,78652604,9159,6886469,6895628
31-Jan-1929,6059211,282697368,288756579,887,8089860,8090748,5653379,71874466,77527845,9159,5642197,5651356
28-Feb-1929,16152436,334436993,350589430,1834060,4154720,5988779,8920096,65912563,74832659,808908,3782609,4591517
31-Mar-1929,5737238,293435898,299173136,93089,5705987,5799076,6367749,70468918,76836667,9369,7372398,7381767
30-Apr-1929,6083218,281672636,287755854,91713,6799808,6891521,5708040,74181932,79889973,9159,8290166,8299326
31-May-1929,8388480,312747755,321136235,1316767,4783644,6100411,6555918,68941565,75497483,269292,4516203,4785495
30-Jun-1929,8029169,301004982,309034152,543405,4630778,5174183,5779496,73435096,79214593,206248,4968985,5175233
31-Jul-1929,7842491,297871879,305714370,543405,4652766,5196172,5641661,73801269,79442930,206062,5220917,5426980
31-Aug-1929,7167990,270382361,277550351,93368,7816805,7910172,4517738,80982344,85500083,9159,7034792,7043952
30-Sep-1929,5106838,236499849,241606687,6722,11021322,11028044,4039171,77291057,81330229,533710,8603360,9137069
31-Oct-1929,5811571,273638134,279449705,116859,7502041,7618900,5622604,76984292,82606896,9159,8230651,8239810
30-Nov-1929,6010357,277073314,283083671,116859,7034589,7151448,5687102,76573157,82260258,9159,8167805,8176965
31-Dec-1929,23597973,370792821,394390794,1936187,4186957,6123144,29442107,58888565,88330671,2171883,3038554,5210437
31-Jan-1930,17320916,358100735,375421651,2837989,4468377,7306366,18356510,58943236,77299746,2089654,3022787,5112441
28-Feb-1930,16163186,354072373,370235559,2092955,4167927,6260882,20475489,63512240,83987729,2726992,3573953,6300945
31-Mar-1930,24853652,370375983,395229635,1679551,4617560,6297112,25422048,58031271,83453320,2143716,2522355,4666070
30-Apr-1930,5676570,269065292,274741862,887,6870659,6871547,4409374,72593079,77002454,542659,6629706,7172365
31-May-1930,7205814,277123523,284329337,120869,7659067,7779936,4531518,78308268,82839785,9159,6478051,6487210
30-Jun-1930,7917735,293927380,301845115,545269,5823681,6368950,5331565,74209886,79541451,205865,5424519,5630384
31-Jul-1930,7648846,307760932,315409778,551129,4390419,4941547,6467805,70535547,77003352,228838,4934690,5163527
31-Aug-1930,7406640,274588869,281995509,120869,7533733,7654601,4618423,80188029,84806452,9159,6638508,6647668
30-Sep-1930,5106838,240728212,245835050,6722,10531836,10538558,4047336,75785466,79832802,533710,8042232,8575942
31-Oct-1930,4975812,251599569,256575381,8106,12144001,12152106,5587661,75148787,80736448,0,7962160,7962160
30-Nov-1930,5317640,256832334,262149974,0,10685824,10685824,5506252,75007094,80513346,8727,7720409,7729137
31-Dec-1930,5134551,246320003,251454554,8106,9700790,9708896,4242424,74316162,78558586,431820,7987796,8419616
31-Jan-1931,11015028,317766643,328781671,108454,6086210,6194665,5495790,65821005,71316794,156515,4549368,4705883
28-Feb-1931,6395597,297352264,303747861,121178,5947638,6068816,6650192,69764054,76414245,9567,7000605,7010172
31-Mar-1931,5866172,284111870,289978041,29336,6870494,6899830,5997523,72925848,78923371,9369,6323837,6333206
30-Apr-1931,6059178,281064904,287124082,116859,6749311,6866169,5751541,75678446,81429987,9159,7875400,7884559
31-May-1931,7762217,279059648,286821864,0,6879068,6879068,5085621,78941655,84027276,155774,6682550,6838324
30-Jun-1931,7784320,283092006,290876326,0,6144357,6144357,5095859,78594022,83689882,155774,6292796,6448570
31-Jul-1931,8028488,300137257,308165746,543405,4628341,5171747,5777390,73724751,79502141,206248,5019452,5225700
31-Aug-1931,7481839,279116494,286598333,120869,6987741,7108610,4685064,79655215,84340280,9159,6068557,6077716
30-Sep-1931,5131935,243356661,248488596,8106,10082308,10090413,4239631,76911657,81151288,533710,8369267,8902977
31-Oct-1931,5953144,271209152,277162296,57276,7733189,7790465,5628439,75816683,81445122,9159,8927333,8936492
30-Nov-1931,5346773,262275539,267622312,0,10258886,10258886,5594507,75172097,80766604,8727,7230980,7239707
31-Dec-1931,24751333,372877195,397628528,1199097,3932290,5131386,31595095,58750666,90345761,2189563,2954790,5144353
31-Jan-1932,17056092,335341085,352397177,2013251,4869126,6882377,7758027,65784427,73542455,508090,3295460,3803551
29-Feb-1932,5888696,293388664,299277359,29336,6269109,6298446,6114290,70384496,76498786,9369,5873816,5883185
31-Mar-1932,6145049,289915395,296060444,0,5169374,5169374,4870794,67776197,72646990,542869,5344201,5887070
30-Apr-1932,5370904,266031985,271402889,0,7176054,7176054,4497500,73158025,77655526,542437,6752060,7294497
31-May-1932,6942569,276769881,283712450,200935,7215105,7416040,4535910,78260916,82796826,8949,7028666,7037615
30-Jun-1932,7162992,285224696,292387688,120869,6153540,6274409,4710832,77919324,82630156,8949,6064686,6073636
31-Jul-1932,8016284,280191791,288208075,0,6476583,6476583,4664919,79213058,83877976,155564,6488280,6643845
31-Aug-1932,6890197,268504639,275394837,171469,8369372,8540841,4516537,79602721,84119258,8949,7764834,7773784
30-Sep-1932,5202629,245304251,250506880,6722,9713528,9720249,3987825,75833458,79821284,533710,7827727,8361437
31-Oct-1932,5105742,236867217,241972958,6722,11036427,11043149,4041158,77280959,81322117,533710,8410213,8943923
30-Nov-1932,5132987,239115414,244248401,6722,10735918,10742640,4139408,76352238,80491646,533710,8584062,9117772
