Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Jul-1933,4.84,9.38,0.26,0.51,5.1,9.89
Aug-1933,5.14,9.95,0.22,0.43,5.36,10.38
Sep-1933,5.29,10.18,0.26,0.5,5.55,10.68
Oct-1933,5.11,9.81,0.27,0.53,5.38,10.35
Nov-1933,5.18,9.93,0.27,0.54,5.45,10.47
Dec-1933,3.82,7.47,0.44,0.88,4.26,8.35
Jan-1934,3.73,7.3,0.64,1.24,4.37,8.53
Feb-1934,3.76,7.36,0.89,1.73,4.65,9.09
Mar-1934,4.35,8.41,0.3,0.6,4.65,9.01
Apr-1934,4.77,9.23,0.26,0.52,5.03,9.75
May-1934,4.04,7.86,0.36,0.71,4.4,8.57
Jun-1934,4.13,8.04,0.36,0.7,4.48,8.74
Jul-1934,4.85,9.42,0.22,0.44,5.07,9.87
Aug-1934,5.19,10.02,0.22,0.45,5.41,10.46
Sep-1934,5.29,10.18,0.26,0.5,5.55,10.68
Oct-1934,5.17,9.9,0.26,0.53,5.43,10.43
Nov-1934,4.11,8.01,0.28,0.56,4.39,8.57
Dec-1934,4.77,9.21,0.27,0.54,5.04,9.75
Jan-1935,3.26,6.39,1.93,3.77,5.19,10.16
Feb-1935,3.81,7.45,0.6,1.16,4.41,8.61
Mar-1935,3.65,7.17,0.97,1.9,4.62,9.06
Apr-1935,3.25,6.38,5.39,10.67,8.64,17.05
May-1935,4.93,9.5,0.28,0.56,5.21,10.06
Jun-1935,4.72,9.16,0.24,0.48,4.96,9.64
Jul-1935,4.23,8.24,0.32,0.64,4.55,8.88
Aug-1935,4.73,9.19,0.23,0.45,4.95,9.64
Sep-1935,5,9.65,0.26,0.5,5.26,10.14
Oct-1935,4.97,9.56,0.27,0.52,5.24,10.09
Nov-1935,5.03,9.71,0.26,0.52,5.28,10.23
Dec-1935,4.7,9.1,0.26,0.52,4.96,9.62
Jan-1936,3.22,6.3,3.69,7.36,6.91,13.66
Feb-1936,3.08,6.04,12.49,24.38,15.56,30.42
Mar-1936,4.26,8.24,0.31,0.62,4.58,8.86
Apr-1936,4.55,8.77,0.3,0.6,4.85,9.36
May-1936,4.76,9.23,0.22,0.45,4.98,9.68
Jun-1936,4.8,9.33,0.22,0.45,5.03,9.77
Jul-1936,3.42,6.7,0.62,1.22,4.04,7.92
Aug-1936,4.69,9.1,0.26,0.51,4.95,9.62
Sep-1936,4.79,9.25,0.27,0.55,5.07,9.79
Oct-1936,5.13,9.89,0.26,0.5,5.39,10.39
Nov-1936,4.97,9.57,0.27,0.54,5.24,10.11
Dec-1936,4.85,9.35,0.26,0.53,5.12,9.88
Jan-1937,4.49,8.73,0.27,0.53,4.76,9.26
Feb-1937,3.26,6.4,1.59,3.09,4.85,9.49
Mar-1937,3.25,6.37,1.71,3.31,4.96,9.68
Apr-1937,3.75,7.33,0.77,1.52,4.52,8.84
May-1937,4.78,9.26,0.22,0.45,5,9.7
Jun-1937,4.03,7.85,0.36,0.71,4.4,8.56
Jul-1937,3.36,6.57,0.91,1.76,4.28,8.34
