Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Jun-1939,2.18,4.3,0.09,0.17,2.27,4.47
Jul-1939,2.29,4.53,0.08,0.15,2.37,4.69
Aug-1939,2.46,4.83,0.03,0.06,2.49,4.88
Sep-1939,2.36,4.6,0.03,0.06,2.39,4.66
Oct-1939,2.35,4.57,0.03,0.06,2.38,4.63
Nov-1939,2.38,4.66,0.03,0.06,2.41,4.72
Dec-1939,2.39,4.67,0.03,0.06,2.41,4.72
Jan-1940,2.2,4.33,0.02,0.04,2.23,4.37
Feb-1940,1.31,2.6,1.89,3.61,3.2,6.22
Mar-1940,1.78,3.52,0.41,0.77,2.19,4.29
Apr-1940,2.47,4.84,0.03,0.06,2.5,4.9
May-1940,2.27,4.44,0.03,0.06,2.3,4.51
Jun-1940,2.48,4.87,0.06,0.12,2.54,4.99
Jul-1940,2.12,4.2,0.09,0.17,2.21,4.37
Aug-1940,2.18,4.3,0.09,0.17,2.27,4.47
Sep-1940,2.41,4.74,0.06,0.12,2.47,4.86
Oct-1940,2.32,4.55,0.03,0.06,2.35,4.61
Nov-1940,2.39,4.66,0.03,0.06,2.42,4.72
Dec-1940,2.19,4.28,0.02,0.04,2.21,4.32
Jan-1941,1.6,3.17,1.4,2.53,2.99,5.7
Feb-1941,1.68,3.33,0.76,1.42,2.44,4.75
Mar-1941,2.01,3.98,0.19,0.37,2.2,4.36
Apr-1941,1.99,3.94,0.18,0.35,2.18,4.29
May-1941,2.33,4.6,0.06,0.12,2.39,4.71
Jun-1941,2.45,4.78,0.02,0.04,2.47,4.82
Jul-1941,2.09,4.12,0.08,0.17,2.17,4.29
Aug-1941,2.37,4.67,0.03,0.06,2.4,4.73
Sep-1941,2.38,4.66,0.03,0.07,2.42,4.73
Oct-1941,2.39,4.67,0.03,0.06,2.42,4.73
Nov-1941,2.33,4.56,0.03,0.06,2.36,4.62
Dec-1941,1.95,3.87,0.37,0.67,2.32,4.54
Jan-1942,1.95,3.86,0.33,0.61,2.28,4.46
Feb-1942,1.46,2.9,1.47,2.68,2.93,5.58
Mar-1942,2.34,4.54,0.03,0.06,2.37,4.6
