Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Dec-1932,4.82,9.33,0.26,0.52,5.08,9.85
Jan-1933,4.11,8.01,0.27,0.55,4.38,8.56
Feb-1933,4.56,8.83,0.29,0.57,4.85,9.4
Mar-1933,3.83,7.47,0.66,1.28,4.48,8.75
Apr-1933,4.53,8.77,0.29,0.56,4.83,9.33
May-1933,3.95,7.68,0.47,0.91,4.42,8.59
Jun-1933,4.6,8.93,0.3,0.6,4.91,9.52
Jul-1933,4.84,9.38,0.26,0.51,5.1,9.89
Aug-1933,5.14,9.95,0.22,0.43,5.36,10.38
Sep-1933,5.29,10.18,0.26,0.5,5.55,10.68
Oct-1933,5.11,9.81,0.27,0.53,5.38,10.35
Nov-1933,5.18,9.93,0.27,0.54,5.45,10.47
Dec-1933,3.82,7.47,0.44,0.88,4.26,8.35
Jan-1934,3.73,7.3,0.64,1.24,4.37,8.53
Feb-1934,3.7,7.24,0.97,1.87,4.67,9.1
Mar-1934,4.35,8.41,0.3,0.6,4.65,9.01
Apr-1934,4.77,9.23,0.26,0.52,5.03,9.76
May-1934,4.04,7.86,0.36,0.71,4.4,8.57
Jun-1934,4.13,8.04,0.36,0.7,4.48,8.74
Jul-1934,4.85,9.42,0.22,0.44,5.07,9.87
Aug-1934,5.19,10.02,0.22,0.45,5.41,10.46
Sep-1934,5.29,10.18,0.26,0.5,5.55,10.68
Oct-1934,5.17,9.9,0.26,0.53,5.43,10.43
Nov-1934,4.11,8.01,0.28,0.56,4.39,8.57
Dec-1934,4.77,9.21,0.27,0.54,5.04,9.75
Jan-1935,3.26,6.37,3.16,6.21,6.41,12.58
Feb-1935,3.81,7.45,0.6,1.16,4.41,8.61
Mar-1935,3.57,6.97,1.45,2.77,5.02,9.73
Apr-1935,3.21,6.32,8.04,15.85,11.26,22.17
May-1935,4.74,9.19,0.23,0.45,4.97,9.64
Jun-1935,4.62,8.97,0.28,0.55,4.9,9.53
Jul-1935,4.31,8.39,0.32,0.63,4.63,9.02
Aug-1935,4.81,9.35,0.23,0.45,5.04,9.8
Sep-1935,4.98,9.61,0.26,0.5,5.24,10.11
Oct-1935,5.06,9.75,0.26,0.5,5.33,10.26
Nov-1935,5.11,9.83,0.27,0.51,5.38,10.34
Dec-1935,4.7,9.1,0.26,0.52,4.96,9.62
Jan-1936,3.18,6.21,3.96,7.87,7.14,14.08
Feb-1936,3.13,6.12,12.51,24.45,15.64,30.57
Mar-1936,4.27,8.24,0.31,0.62,4.58,8.87
Apr-1936,4.55,8.77,0.3,0.6,4.85,9.36
May-1936,4.81,9.35,0.22,0.45,5.04,9.8
Jun-1936,4.79,9.29,0.24,0.47,5.03,9.76
Jul-1936,3.53,6.9,0.56,1.11,4.09,8.01
Aug-1936,4.69,9.1,0.26,0.51,4.95,9.62
Sep-1936,4.69,9.1,0.24,0.49,4.93,9.58
Oct-1936,5.17,9.95,0.26,0.5,5.44,10.45
Nov-1936,4.99,9.61,0.27,0.54,5.26,10.15
Dec-1936,4.85,9.35,0.26,0.53,5.12,9.88
