Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-Jan-1929,6059211,282697368,288756579,887,8089860,8090748,5653379,71874466,77527845,9159,5642197,5651356
28-Feb-1929,16152436,334436993,350589430,1834060,4154720,5988779,8920096,65912563,74832659,808908,3782609,4591517
31-Mar-1929,5737238,293435898,299173136,93089,5705987,5799076,6367749,70468918,76836667,9369,7372398,7381767
30-Apr-1929,6083218,281672636,287755854,91713,6799808,6891521,5708040,74181932,79889973,9159,8290166,8299326
31-May-1929,8430889,312838348,321269236,1316767,4783253,6100020,6555918,68989862,75545780,269292,4475343,4744635
30-Jun-1929,8031032,301474522,309505554,543405,4641402,5184807,5781022,73326571,79107592,206248,4874411,5080658
31-Jul-1929,9853590,310950747,320804338,543405,4633166,5176571,5366172,70385027,75751199,206606,4240942,4447547
31-Aug-1929,7160215,282411497,289571712,93368,6192785,6286152,5023113,78997411,84020524,9369,6178206,6187575
30-Sep-1929,4949763,250390303,255340067,8106,12263916,12272022,5491632,75993103,81484735,0,7765681,7765681
31-Oct-1929,6009300,279297889,285307189,116859,6791391,6908249,5692412,75947861,81640273,9159,7912201,7921360
30-Nov-1929,6031317,281753858,287785175,116859,6401610,6518468,5699161,75756374,81455535,9159,7664417,7673576
31-Dec-1929,15282025,361618700,376900725,1676073,4401969,6078041,25028143,59529390,84557533,2143716,2834887,4978602
31-Jan-1930,15947260,350796881,366744140,2600331,4636790,7237121,16590190,61805869,78396059,2062525,3721995,5784520
28-Feb-1930,16163186,354072373,370235559,2092955,4167927,6260882,20475489,63512240,83987729,2726992,3573953,6300945
31-Mar-1930,15537053,348163026,363700079,1577134,5321417,6898550,17010132,63677272,80687404,1433616,3015104,4448719
30-Apr-1930,5525620,268757944,274283564,887,6914167,6915055,4511230,72585013,77096242,542659,6485119,7027778
31-May-1930,7089993,274965847,282055840,120869,7869020,7989888,4495545,77937343,82432887,8949,6702147,6711097
